category,category_id,category_position,tool_id,title,description,tags,download,github,website,icon,tool_position,created_at,updated_at
内存取证,1,0,1,Lovelymem Luxe,一款基于 MemProcFS、Volatility2、Volatility3 的快捷内存取证工具。,内存取证 | volatility | 付费软件,,,https://auth.mzy0.com/login,https://bu.dusays.com/2025/09/18/68cae8c7019b1.png,0,2025-09-18T00:59:34.458138+08:00,2026-05-24T17:55:57.074336+08:00
内存取证,1,0,37,Volatility2,Volatility 2.6 是 Volatility 2.x 系列的最后一个主要版本，于 2016 年由 Volatility Foundation 发布，是一款开源的内存取证框架，广泛用于数字取证、应急响应和恶意软件分析。,内存取证,https://github.com/volatilityfoundation/volatility/releases/tag/2.6.1,https://github.com/volatilityfoundation/volatility,https://volatilityfoundation.org/,https://didctf-file.s3.bitiful.net/didctf-tools-ico/volatility2.6.png?no-wait=on,0,2025-10-16T22:46:04.758218+08:00,2025-10-16T22:46:04.758218+08:00
内存取证,1,0,65,DumpIt,小巧便携的Windows内存转储工具，一步生成物理内存镜像，支持32/64位系统，适合现场快速取证部署,内存取证 | 内存转储 | 现场取证,,,https://www.magnetforensics.com/resources/magnet-dumpit-for-windows/,https://didctf-file.s3.bitiful.net/didctf-tools-ico/DumpIt.png?no-wait=on,0,2026-05-24T17:50:15.166808+08:00,2026-05-24T17:50:15.166808+08:00
内存取证,1,0,66,MAGNET RAM Capture,MAGNET公司出品的免费内存镜像工具，仅300KB+，支持镜像分段存储，操作极简，适合快速响应,内存取证 | 内存镜像 | 分段存储,,,https://www.magnetforensics.com/resources/magnet-ram-capture/,https://didctf-file.s3.bitiful.net/didctf-tools-ico/MAGNET%20RAM%20Capture.png?no-wait=on,0,2026-05-24T17:50:15.167701+08:00,2026-05-24T17:50:15.167701+08:00
内存取证,1,0,67,Volatility3,Volatility基金会发布的最新版开源内存取证框架，完全用Python3重写，支持Windows/Linux/macOS/Android多平台内存分析,内存取证 | volatility | Python3,,https://github.com/volatilityfoundation/volatility3,https://volatilityfoundation.org/,https://didctf-file.s3.bitiful.net/didctf-tools-ico/volatility2.6.png?no-wait=on,0,2026-05-24T17:50:15.168416+08:00,2026-05-24T17:50:15.168416+08:00
内存取证,1,0,86,LiME,Linux内核可加载模块，用于获取Linux和Android设备的完整物理内存转储，支持多种输出格式,Linux | 内存转储 | Android | 内核模块,,https://github.com/504ensicsLabs/LiME,,https://didctf-file.s3.bitiful.net/didctf-tools-ico/LiME.png?no-wait=on,0,2026-05-24T18:48:35.292955+08:00,2026-05-24T18:48:35.292955+08:00
内存取证,1,0,87,MemProcFS,将物理内存转储以虚拟文件系统形式挂载的创新工具，可直接通过文件浏览器访问进程、注册表和网络连接等数据,内存取证 | 虚拟文件系统 | 进程分析 | Windows,,https://github.com/ufrisk/MemProcFS,,https://didctf-file.s3.bitiful.net/didctf-tools-ico/MemProcFS.png?no-wait=on,0,2026-05-24T18:48:35.29417+08:00,2026-05-24T18:48:35.29417+08:00
内存取证,1,0,88,AVML,微软开发的Linux内存采集工具，专为Azure虚拟机和云环境的实时内存获取设计，支持压缩输出,Linux | 云取证 | Azure | 内存采集,,https://github.com/microsoft/avml,,https://didctf-file.s3.bitiful.net/didctf-tools-ico/AVML.png?no-wait=on,0,2026-05-24T18:48:35.294969+08:00,2026-05-24T18:48:35.294969+08:00
内存取证,1,0,116,VolWeb,基于Web的Volatility3协作分析平台，2024-2025活跃开发，支持多人在线协作进行内存取证分析,内存取证 | Web平台 | Volatility3 | 协作 | 2024,,https://github.com/k1nd0ne/VolWeb,,https://didctf-file.s3.bitiful.net/didctf-tools-ico/VolWeb.png?no-wait=on,0,2026-05-24T19:09:24.06908+08:00,2026-05-24T19:09:24.06908+08:00
服务器取证,2,0,2,PanelForensics,Linux面板取证一把梭,服务器取证 | 宝塔面板 | 小皮面板 | 1Panel | 耗子面板,https://github.com/WXjzcccc/PanelForensics/releases,https://github.com/WXjzcccc/PanelForensics,,https://bu.dusays.com/2025/09/18/68cae9c6bb363.jpg,0,2025-09-18T01:04:11.213174+08:00,2025-09-18T01:08:06.744889+08:00
解析工具,3,0,35,ForensicsTool,支持密钥计算、数据库解密、数据提取、注册表分析、暴力破解、时间戳转换,解析工具,https://github.com/WXjzcccc/ForensicsTool/releases,https://github.com/WXjzcccc/ForensicsTool,,https://bu.dusays.com/2025/09/18/68cae9c6bb363.jpg,0,2025-09-18T01:11:35.444724+08:00,2025-09-18T01:11:35.444724+08:00
解析工具,3,0,41,FinallShell 密码解密GUI工具,FinallShell 密码解密GUI工具,Finalshell | SSH | 解析工具,https://github.com/passer-W/FinalShell-Decoder/releases/tag/V1.0,https://github.com/passer-W/FinalShell-Decoder,,https://didctf-file.s3.bitiful.net/didctf-tools-ico/finalshell_icon.png?no-wait=on,0,2026-05-17T00:04:33.011852+08:00,2026-05-17T00:48:16.11064+08:00
